id_municipio,id_municipio_nome,id_estacao,estacao,data_fundacao,latitude,longitude,altitude
3139607,Mantena,A540,Mantena,2007-08-01,-18.78062,-40.986505,254.91
3112307,Capelinha,A541,Capelinha,2007-08-31,-17.70555555,-42.38916666,932.06
3170404,Unaí,A542,Unai,2007-06-16,-16.55416666,-46.88194443,640.85
3124302,Espinosa,A543,Espinosa,2007-11-14,-14.91222222,-42.80861111,565.36
3109303,Buritis,A544,Buritis,2007-06-19,-15.52416666,-46.43555555,894.0
3151206,Pirapora,A545,Pirapora,2007-07-04,-17.258064,-44.835556,505.32
3128600,Guarda-Mor,A546,Guarda-Mor,2007-07-11,-17.56138888,-47.19916666,997.01
3164209,São Romão,A547,Sao Romao,2007-06-30,-16.362747,-45.123801,490.29
3116159,Chapada Gaúcha,A548,Chapada Gaucha,2007-06-22,-15.30027777,-45.61749999,873.2
3101003,Águas Vermelhas,A549,Aguas Vermelhas,2007-09-09,-15.751536,-41.457787,754.07
3133303,Itaobim,A550,Itaobim,2007-09-05,-16.575667,-41.485588,271.63
3155603,Rio Pardo de Minas,A551,Rio Pardo De Minas,2007-11-17,-15.72305554,-42.43583333,850.06
3157005,Salinas,A552,Salinas,2007-09-14,-16.16027777,-42.31027777,487.14
3136306,João Pinheiro,A553,Joao Pinheiro,2007-07-07,-17.784477,-46.119394,877.05
3113404,Caratinga,A554,Caratinga,2007-05-24,-19.735757,-42.137146,609.25
3106200,Belo Horizonte,A555,Ibirite (Rola Moca),2008-06-06,-20.031457,-44.011249,1198.82
3139409,Manhuaçu,A556,Manhuacu,2010-09-25,-20.26333333,-42.18277777,819.47
3127388,Goianá,A557,Coronel Pacheco,2012-10-17,-21.546728,-43.261029,411.14
3117836,Cônego Marinho,A559,Januaria,2016-06-23,-15.448089,-44.366313,468.0
3164704,São Sebastião do Paraíso,A561,Sao Sebastiao Do Paraiso,2015-08-17,-20.91,-47.11416666,845.0
3148004,Patos de Minas,A562,Patos De Minas,2017-05-12,-18.52055554,-46.44055555,950.0
3145059,Nova Porteirinha,A563,Janauba,2016-11-19,-15.80277777,-43.29694444,532.0
3122306,Divinópolis,A564,Divinopolis,2017-10-26,-20.17333332,-44.87499999,796.0
3105103,Bambuí,A565,Bambui,2016-11-23,-20.0311111,-46.00888888,697.0
3103405,Araçuaí,A566,Aracuai,2017-05-19,-16.84888888,-42.03527777,308.0
3139003,Machado,A567,Machado,2017-07-21,-21.680722,-45.944389,969.0
3170107,Uberaba,A568,Uberaba,2017-05-19,-19.71,-47.96194444,778.0
3167202,Sete Lagoas,A569,Sete Lagoas,2016-06-10,-19.45527777,-44.17333332,719.0
3145604,Oliveira,A570,Oliveira,2017-10-19,-20.715,-44.86444444,1025.0
3147006,Paracatu,A571,Paracatu,2018-03-16,-17.24444444,-46.88166666,705.0
3106200,Belo Horizonte,F501,Belo Horizonte - Cercadinho,2013-12-27,-19.97999999,-43.95861111,1199.55
